dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
HRS,s14nrstim,float64,35921,0.7941150462041827,0.20588495379581728,7
HRS,s14hspnit,float64,35961,0.7949993367820666,0.20500066321793342,56
HRS,s14nrsnit,float64,35922,0.7941371534686298,0.2058628465313702,71
HRS,s14doctim,float64,36371,0.8040633152053764,0.19593668479462356,85
HRS,s14outpt,float64,35918,0.7940487244108414,0.2059512755891586,2
HRS,s14dentst,float64,35915,0.7939824026175001,0.20601759738249992,2
HRS,s14drugs,float64,35893,0.793496042799664,0.20650395720033599,2
HRS,s14spcfac,float64,35910,0.7938718662952646,0.20612813370473537,2
HRS,s14nhmliv,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14nhmmvy,float64,45200,0.9992483530087987,0.0007516469912013379,9
HRS,s14nhmmvm,float64,45202,0.9992925675376929,0.0007074324623070893,12
HRS,s14nhmday,float64,45200,0.9992483530087987,0.0007516469912013379,26
HRS,s14oopmd,float64,35876,0.7931202193040633,0.2068797806959367,2063
HRS,s14oopmdf,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14oopmdo,float64,35876,0.7931202193040633,0.2068797806959367,2163
HRS,s14oopmdof,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14prmem,float64,44850,0.9915108104523146,0.008489189547685405,5
HRS,s14lost,float64,44987,0.994539505681567,0.005460494318432985,2
HRS,s14alone,float64,44983,0.9944510766237785,0.005548923376221482,2
HRS,s14haluc,float64,44985,0.9944952911526728,0.005504708847327233,2
HRS,s14wander,float64,44982,0.9944289693593314,0.005571030640668551,2
HRS,s14prchmem,float64,45102,0.9970818410929831,0.0029181589070168545,3
HRS,s14bpsys,float32,41203,0.9108856170137507,0.0891143829862493,227
HRS,s14bpdia,float32,41203,0.9108856170137507,0.0891143829862493,142
HRS,s14bppuls,float64,41202,0.9108635097493036,0.08913649025069637,209
HRS,s14bppos,float64,41201,0.9108414024848566,0.08915859751514343,3
HRS,s14puff,float64,41197,0.9107529734270682,0.08924702657293182,94
HRS,s14puffpos,float64,41196,0.910730866162621,0.089269133837379,3
HRS,s14grp,float64,41267,0.912300481938365,0.087699518061635,122
HRS,s14grpdom,float64,41245,0.9118141221205288,0.08818587787947119,3
HRS,s14grpl,float64,41363,0.9144227793252863,0.08557722067471374,116
HRS,s14grpr,float64,41378,0.9147543882919927,0.08524561170800726,126
HRS,s14grppos,float64,41253,0.9119909802361056,0.08800901976389441,3
HRS,s14timwlk,float64,43353,0.95841623557501,0.04158376442499001,346
HRS,s14timwlka,float64,43352,0.9583941283105628,0.04160587168943719,5
HRS,s14balsemi,float64,41369,0.9145554229119689,0.0854445770880311,125
HRS,s14balsemic,float64,41369,0.9145554229119689,0.0854445770880311,2
HRS,s14balsbs,float64,44972,0.9942078967148605,0.0057921032851394605,9
HRS,s14balsbsc,float64,44971,0.9941857894504134,0.00581421054958664,2
HRS,s14balful,float64,41606,0.919794844585931,0.08020515541406903,681
HRS,s14balfulc,float64,41605,0.9197727373214838,0.08022726267851621,2
HRS,s14balfult,float64,41606,0.919794844585931,0.08020515541406903,2
HRS,s14pmhght,float64,41227,0.911416191360481,0.08858380863951898,109
HRS,s14pmhghts,float64,41216,0.9111730114515629,0.08882698854843707,2
HRS,s14pmwght,float64,41324,0.9135605960118495,0.08643940398815053,494
HRS,s14pmwghts,float64,41324,0.9135605960118495,0.08643940398815053,2
HRS,s14pmwghtf,float64,41324,0.9135605960118495,0.08643940398815053,5
HRS,s14pmbmi,float64,41351,0.9141574921519211,0.0858425078480789,331
HRS,s14pmwaist,float64,41226,0.911394084096034,0.08860591590396605,157
HRS,s14pmwaistc,float64,41226,0.911394084096034,0.08860591590396605,2
HRS,s14status,float64,35152,0.7771145598443648,0.22288544015563516,3
HRS,s14imrcp,float64,37161,0.8215280541185833,0.17847194588141668,11
HRS,s14imrcw,float64,44333,0.9800813547331653,0.019918645266834734,10
HRS,s14dlrcp,float64,37161,0.8215280541185833,0.17847194588141668,11
HRS,s14dlrcw,float64,44333,0.9800813547331653,0.019918645266834734,11
HRS,s14fimrcp,float64,37161,0.8215280541185833,0.17847194588141668,2
HRS,s14fimrcw,float64,44333,0.9800813547331653,0.019918645266834734,2
HRS,s14fdlrcp,float64,37161,0.8215280541185833,0.17847194588141668,2
HRS,s14fdlrcw,float64,44333,0.9800813547331653,0.019918645266834734,2
HRS,s14ser7p,float64,37161,0.8215280541185833,0.17847194588141668,6
HRS,s14ser7w,float64,44333,0.9800813547331653,0.019918645266834734,6
HRS,s14fser7p,float64,37161,0.8215280541185833,0.17847194588141668,2
HRS,s14fser7w,float64,44333,0.9800813547331653,0.019918645266834734,2
HRS,s14bwc20p,float64,37161,0.8215280541185833,0.17847194588141668,3
HRS,s14bwc20w,float64,44333,0.9800813547331653,0.019918645266834734,2
HRS,s14fbwc20p,float64,37161,0.8215280541185833,0.17847194588141668,2
HRS,s14fbwc20w,float64,44333,0.9800813547331653,0.019918645266834734,1
HRS,s14mop,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14dyp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14yrp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14dwp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14fmop,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fdyp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fyrp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fdwp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14scisp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14cactp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14presp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14vpp,float64,41214,0.9111287969226688,0.0888712030773312,2
HRS,s14fscisp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fcactp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fpresp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fvpp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14vocabp,float64,45055,0.9960427996639696,0.00395720033603042,11
HRS,s14fvocabp,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14slfmem,float64,36260,0.8016094088517487,0.1983905911482513,5
HRS,s14pstmem,float64,36260,0.8016094088517487,0.1983905911482513,3
HRS,s14fslfme,float64,36260,0.8016094088517487,0.1983905911482513,2
HRS,s14fpstme,float64,36260,0.8016094088517487,0.1983905911482513,2
HRS,s14notics,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14novoc,float64,35876,0.7931202193040633,0.2068797806959367,2
HRS,s14tr20p,float64,37161,0.8215280541185833,0.17847194588141668,21
HRS,s14tr20w,float64,44333,0.9800813547331653,0.019918645266834734,19
