observed_fraction,observed_rows,hidden_rows,test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,hidden_spd,reconstructed_spd,spd_absolute_gap,runtime_seconds,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.2,4199,16799,8400,12,2,0.2627834990177987,0.3416970058597402,3.9863880298755476,2.592958084020697,0.011310197035537796,0.013562964753218082,0.000721051674131501,0.012841913079086581,0.5203485488891602,0.7627380952380952,0.611390882370866,0.6051227881792653,0.9049933420255117
0.2,4199,16799,8400,12,3,0.26286286882155685,0.34202448764314775,3.9888140481457164,2.5903876335522207,0.007738555866420596,0.013562964753218082,0.0016765435234560588,0.011886421229762023,0.5093934535980225,0.7620238095238095,0.6101047903822017,0.6042100228614107,0.9047553160873265
0.2,4199,16799,8400,12,4,0.26228942198940414,0.3418231647414787,3.9737312046035367,2.5873146156843267,0.015000892910292336,0.013562964753218082,0.0015966834126717455,0.011966281340546336,0.5116653442382812,0.7639285714285714,0.6137239874674052,0.6065290808834766,0.8996396445759381
0.2,4199,16799,8400,12,5,0.26299184475266385,0.3428267403326834,3.9884960137525596,2.5916983677179757,0.010595868801714446,0.013562964753218082,0.004753186855495084,0.008809777897722998,0.5102338790893555,0.7626190476190476,0.6114345118142975,0.6049123449942259,0.9046281943777965
0.2,4199,16799,8400,16,1,0.2497648669563665,0.32679652509585616,2.5582839883816537,1.863281722385437,0.010595868801714446,0.013562964753218082,0.004753186855495084,0.008809777897722998,0.6853342056274414,0.7644047619047619,0.6116483062951896,0.6042858003723927,0.9108535244138465
0.2,4199,16799,8400,16,2,0.25075698950334346,0.3271503203894459,2.5390077109772413,1.8441969588154634,0.006786118221322614,0.013562964753218082,0.00021386366078229857,0.013349101092435783,0.6774225234985352,0.7672619047619048,0.6152569320255397,0.6067224206109104,0.9070667502582019
0.2,4199,16799,8400,16,3,0.24832033652796792,0.3263727208958985,2.545585966110221,1.8640432747785733,0.014881838204654989,0.013562964753218082,0.011028560336826143,0.002534404416391939,0.6696548461914062,0.7669047619047619,0.6139300107522871,0.6071453508900293,0.9114035640788833
0.2,4199,16799,8400,16,4,0.24931642756513284,0.32610507038293157,2.5594284912067535,1.851941123275124,0.014643728793380516,0.013562964753218082,0.009544503028813128,0.004018461724404954,0.670922040939331,0.7703571428571429,0.6207037151174074,0.6109209755862275,0.9049391327943093
0.2,4199,16799,8400,16,5,0.24994543325991628,0.3257551558737891,2.5544867495121144,1.8531802125206067,0.008810048217155815,0.013562964753218082,0.0005995577493870807,0.012963407003831001,0.6788516044616699,0.7605952380952381,0.607673172705161,0.6021343674438033,0.9078631994148446
0.2,4199,16799,8400,20,1,0.24281008790205771,0.32328137454018374,1.6027824242324873,1.2411579288351937,0.008810048217155815,0.013562964753218082,0.0005995577493870807,0.012963407003831001,0.8661127090454102,0.7836904761904762,0.6351926551066152,0.6212854379208952,0.9181892785561152
0.2,4199,16799,8400,20,2,0.2435383058515388,0.32536378464599314,1.604389113952001,1.2272620441638549,0.01238168938627305,0.013562964753218082,0.0009436187780136607,0.012619345975204421,0.8527162075042725,0.7835714285714286,0.6352731322094787,0.621743978077258,0.9165369653174745
