observed_fraction,observed_rows,temporal_test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,test_spd,reconstructed_spd,runtime_seconds,spd_absolute_gap,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.1,762,2872,23,4,0.2905756731662024,0.3986715175495668,2.818398356483534,2.8331989923417815,0.10306406685236769,0.03492082430605775,0.014857689101835492,0.25551390647888184,0.02006313520422226,0.7506963788300836,0.680653343223568,0.6596995697580715,0.9103980256748787
0.1,762,2872,23,5,0.29112116991643455,0.40126589654659883,2.7858857997383937,2.857605228292485,0.09958217270194988,0.03492082430605775,0.008633668591295718,0.24004602432250977,0.026287155714762034,0.7447771587743732,0.6946258329685295,0.6645766558175389,0.9071396230849149
0.2,1525,2872,12,1,0.3144846796657381,0.40408638101289374,5.00162078712665,3.622020047373463,0.08844011142061287,0.03492082430605775,0.00867122184735361,0.13262557983398438,0.02624960245870414,0.7510445682451253,0.595569006899723,0.5916406752278982,0.886070306516622
0.2,1525,2872,12,2,0.31617920148560824,0.40415949984068866,5.090468688731348,3.7286478227464204,0.11908077994428973,0.03492082430605775,0.004014211320387401,0.12946724891662598,0.03090661298567035,0.7594011142061281,0.6042382813759049,0.5974095213992107,0.9050627387775059
0.2,1525,2872,12,3,0.3129526462395543,0.40710389537830116,4.983607890131913,3.695224388565992,0.08217270194986072,0.03492082430605775,0.0012136040155729666,0.13613057136535645,0.033707220290484785,0.754874651810585,0.59971215117291,0.5934952250145298,0.8858350384954781
0.2,1525,2872,12,4,0.31039925719591455,0.40443157718435746,5.001817692202706,3.6369003880102793,0.1385793871866296,0.03492082430605775,0.005825681285388268,0.13373160362243652,0.029095143020669484,0.7503481894150418,0.5960436515994422,0.5900638848304618,0.8915265599830695
0.2,1525,2872,12,5,0.3169103992571959,0.4041245247553806,5.016836449122805,3.627592292460188,0.12465181058495822,0.03492082430605775,0.007630221738750387,0.13295412063598633,0.027290602567307365,0.7458217270194986,0.5923844186268885,0.5879693072892747,0.8951236143539509
0.2,1525,2872,16,1,0.30127669452181993,0.3933684043999898,3.8011634598755,3.2409910192116476,0.12465181058495822,0.03492082430605775,0.007630221738750387,0.16167163848876953,0.027290602567307365,0.7813370473537604,0.6293653748219201,0.6158026449860502,0.895388895039638
0.2,1525,2872,16,2,0.30307567316620243,0.39483934316105057,3.835128646394287,3.298198148190472,0.10236768802228413,0.03492082430605775,0.012388320027557631,0.16400933265686035,0.02253250427850012,0.7806406685236769,0.6276803978890415,0.6159172109536132,0.9042927955008075
0.2,1525,2872,16,3,0.30129990714948934,0.39294552212975375,3.785417211378743,3.227188024097044,0.07590529247910863,0.03492082430605775,0.00035129601055830517,0.16366815567016602,0.034569528295499447,0.7761142061281338,0.6229003762508568,0.6123436402954475,0.9078361668415902
